X,Y,Theta,Theta_delta,US1,US2,US3,,,US_X,US_Y
-558,-474,6987,-24,48,109,23,12.972,-1.999,10.35625113,106.9696095
-142,-114,6959,-28,43,105,21,13.114,-2.113,10.17438414,102.8458427
-144,-112,6944,-15,43,105,21,13.258,-2.225,11.68305906,102.7631877
-295,-216,6916,-28,43,106,20,13.553,-2.441,10.5853878,103.5174507
-149,-106,6904,-12,83,104,17,13.702,-2.547,12.45402995,101.4455121
-302,-207,6884,-20,83,104,17,14.004,-2.754,11.92413866,101.2252007
-152,-101,6868,-16,35,118,16,14.156,-2.855,12.26808055,115.1298963
-155,-96,6840,-28,35,117,13,14.311,-2.951,11.03542805,114.003139
-157,-94,6824,-16,35,117,13,14.468,-3.045,12.59607987,113.9400243
-159,-90,6796,-28,30,113,12,14.627,-3.135,11.46341341,109.8207069
-164,-81,6744,-52,28,112,10,14.791,-3.216,8.969624328,108.6326101
-174,-54,6585,-159,28,112,10,14.965,-3.27,-2.768060782,107.3172441
-178,39,6063,-522,30,23,89,15.143,-3.231,3.67486003,16.70594474
0,0,5768,-295,83,22,22,15.143,-3.231,8.746723297,17.81864713
-125,133,5465,-303,83,22,22,15.268,-3.098,8.703532596,17.89980388
80,-164,5167,-298,55,84,20,15.188,-3.262,-9.475151289,77.03575195
-27,181,4864,-303,52,97,26,15.215,-3.081,-13.72833355,89.50022619
23,181,4581,-283,52,97,26,15.192,-2.9,-11.89404399,90.24153864
95,156,4167,-414,117,52,85,15.097,-2.744,-5.821279856,44.86299075
117,140,4015,-152,117,52,85,14.98,-2.604,7.106400529,48.79645167
143,113,3808,-207,77,125,49,14.837,-2.491,-10.85360918,119.8404865
152,102,3732,-76,77,125,49,14.685,-2.389,5.194142693,122.2501737
157,94,3681,-51,75,122,113,14.528,-2.295,8.308696886,119.5463734
161,86,3633,-48,74,119,120,14.367,-2.209,8.657193155,116.6539383
164,81,3601,-32,72,111,119,14.203,-2.128,10.65160618,108.8151728
334,150,3565,-36,72,111,119,13.869,-1.978,9.87386308,108.9500798
507,212,3537,-28,71,107,118,13.362,-1.766,10.36639146,105.1920587
170,65,3509,-28,69,104,122,13.192,-1.701,10.28038049,102.2582347
172,60,3477,-32,69,104,122,13.02,-1.641,9.69256795,102.3057565
349,111,3450,-27,67,101,118,12.671,-1.53,9.944331318,99.43318774
351,104,3430,-20,65,97,115,12.32,-1.426,10.38012933,95.55460065
353,95,3406,-24,65,97,115,11.967,-1.331,9.639223482,95.64106534
355,87,3382,-24,65,95,107,11.612,-1.244,9.332218874,93.72864131
178,40,3362,-20,63,92,103,11.434,-1.204,9.594122664,90.77760061
359,71,3338,-24,63,92,103,11.075,-1.133,8.867211962,90.84050527
180,30,3310,-28,91,90,101,10.895,-1.103,8.375329267,88.8617223
181,25,3278,-32,88,88,98,10.714,-1.078,7.898480573,86.87694784
364,42,3258,-20,88,88,98,10.35,-1.036,8.590117331,86.94640059
364,34,3234,-24,87,83,96,9.986,-1.002,7.994191226,81.97409715
731,47,3207,-27,86,80,91,9.255,-0.955,7.09526243,79.01584177
183,4,3167,-40,34,78,88,9.072,-0.951,5.952831933,76.98660832
183,0,3143,-24,34,78,88,8.889,-0.951,7.017179707,77.02653708
183,-4,3119,-24,35,74,84,8.706,-0.955,6.930170491,73.02368902
183,-9,3091,-28,79,72,82,8.523,-0.964,6.507263414,71.00777784
182,-15,3059,-32,79,72,82,8.341,-0.979,6.037393196,70.98413915
364,-41,3027,-32,32,68,78,7.977,-1.02,5.801371352,66.94518697
362,-53,2995,-32,43,65,76,7.615,-1.073,5.535354968,63.89372284
360,-64,2964,-31,43,65,76,7.255,-1.137,5.24032272,63.83177
179,-35,2944,-20,40,62,74,7.076,-1.172,5.836082665,60.81560041
178,-40,2916,-28,39,59,71,6.898,-1.212,5.246215853,57.76487351
354,-91,2888,-28,39,59,71,6.544,-1.303,4.892215853,57.67387351
352,-100,2864,-24,29,56,69,6.192,-1.403,4.84812902,54.58087277
349,-111,2832,-32,27,53,68,5.843,-1.514,4.147289436,51.45886632
345,-122,2800,-32,26,50,51,5.498,-1.636,3.898273053,48.33840218
170,-66,2772,-28,26,50,51,5.328,-1.702,3.928182926,48.27840128
169,-70,2744,-28,25,48,47,5.159,-1.772,3.815175609,46.20918523
333,-150,2717,-27,24,45,44,4.826,-1.922,3.611147617,43.0615985
328,-161,2685,-32,24,45,44,4.498,-2.083,3.058245747,42.89396197
322,-174,2645,-40,22,43,40,4.176,-2.257,2.45645863,40.70860459
157,-92,2609,-36,20,41,37,4.019,-2.349,2.543318795,38.62443487
308,-198,2569,-40,20,41,37,3.711,-2.547,2.071437298,38.42020437
301,-208,2537,-32,19,43,35,3.41,-2.755,2.034234825,40.22298588
295,-216,2509,-28,16,101,32,3.115,-2.971,0.2873695108,97.98941059
288,-225,2477,-32,16,101,32,2.827,-3.196,-0.4044484336,97.75229241
139,-118,2438,-39,14,36,29,2.688,-3.314,1.284355887,32.65862547
152,-101,2553,115,10,93,25,2.536,-3.415,13.20744202,88.97071494
341,-133,2768,215,10,93,25,2.195,-3.548,22.03631083,87.31080466
0,0,3011,243,8,0,26,2.195,-3.548,2.195,-3.548
181,22,3266,255,10,23,69,2.014,-3.526,7.815644399,18.7302558
-168,-72,3549,283,10,23,69,2.182,-3.598,8.60446404,18.4871071
141,116,3832,283,89,24,59,2.041,-3.482,8.742701607,19.56332915
103,151,4115,283,22,178,55,1.938,-3.331,51.64228692,167.5885245
17,182,4617,502,21,59,55,1.921,-3.149,30.31060488,48.57169542
-3,183,4732,115,26,55,126,1.924,-2.966,8.235067862,51.67071314
-16,182,4800,68,26,55,126,1.94,-2.784,5.677118373,52.08888899
-23,181,4840,40,59,52,125,1.963,-2.603,4.042445378,49.35540555
-27,181,4860,20,57,51,125,1.99,-2.422,3.009932001,48.56780034
-24,181,4844,-16,55,49,124,2.014,-2.241,1.23003345,46.75272813
-22,181,4836,-8,53,46,124,2.036,-2.06,1.668003925,43.93852801
-39,364,4820,-16,51,43,122,2.075,-1.696,1.387029354,41.29849612
-32,365,4800,-20,51,43,122,2.107,-1.331,1.247057332,41.66040029
-25,365,4780,-20,50,41,98,2.132,-0.966,1.312054666,40.02580027
-7,366,4732,-48,47,37,119,2.139,-0.6,0.3636819054,36.35738418
4,366,4701,-31,45,35,120,2.135,-0.234,1.050173772,34.74918385
6,183,4677,-24,43,31,120,2.129,-0.051,1.385071422,30.94007243
65,545,4593,-84,38,25,29,2.064,0.494,-0.03353127113,25.40585185
28,181,4557,-36,38,25,29,2.036,0.675,1.136194387,25.65880175
32,180,4533,-24,36,22,24,2.004,0.855,1.476050687,22.8486643
73,359,4509,-24,29,19,20,1.931,1.214,1.475043775,20.20852826
85,356,4477,-32,25,16,17,1.846,1.57,1.334087377,17.5618087
