X,Y,Theta,Delta_Theta,US1,US2,US3,X_Global,Y_Global,,,US_2_X,US_3_Y
-89,-159,1059,-80,75,75,72,-6.451,12.27,-6.467,12.088,-12.46060205,83.85772285
-89,-159,1059,0,74,108,72,-6.362,12.111,-6.378,11.929,-6.378,83.929
-89,-159,1059,0,74,109,72,-6.273,11.952,-6.289,11.77,-6.289,83.77
-89,-159,1059,0,74,109,72,-6.184,11.793,-6.2,11.611,-6.2,83.611
-89,-159,1059,0,74,108,72,-6.095,11.634,-6.111,11.452,-6.111,83.452
-89,-159,1059,0,74,108,72,-6.006,11.475,-6.022,11.293,-6.022,83.293
-89,-159,1059,0,74,108,72,-5.917,11.316,-5.933,11.134,-5.933,83.134
-89,-159,1059,0,74,106,72,-5.828,11.157,-5.844,10.975,-5.844,82.975
-89,-159,1059,0,74,75,72,-5.739,10.998,-5.755,10.816,-5.755,82.816
-89,-159,1059,0,74,75,72,-5.65,10.839,-5.666,10.657,-5.666,82.657
-89,-159,1059,0,74,75,72,-5.561,10.68,-5.577,10.498,-5.577,82.498
-89,-159,1059,0,74,76,72,-5.472,10.521,-5.488,10.339,-5.488,82.339
-89,-159,1059,0,74,76,72,-5.383,10.362,-5.399,10.18,-5.399,82.18
-89,-159,1059,0,74,109,71,-5.294,10.203,-5.31,10.021,-5.31,81.021
-89,-159,1059,0,74,75,72,-5.205,10.044,-5.221,9.862,-5.221,81.862
-89,-159,1059,0,74,106,72,-5.116,9.885,-5.132,9.703,-5.132,81.703
-89,-159,1059,0,74,106,72,-5.027,9.726,-5.043,9.544,-5.043,81.544
-89,-159,1059,0,74,75,72,-4.938,9.567,-4.954,9.385,-4.954,81.385
-89,-159,1059,0,74,75,72,-4.849,9.408,-4.865,9.226,-4.865,81.226
-89,-159,1059,0,74,75,72,-4.76,9.249,-4.776,9.067,-4.776,81.067
,,,-1059,,,,-4.76,9.249,-4.776,9.067,-4.776,9.067
